Code,Location_n,Country,Latitude,Longitude,Date_colle,number_col,Afum_01,number_ARA,ARAf_01,colonies_A,SAMPLE_1_e,urban_rura,tasmax
WS18-062-02,2,UK,51.38,-2.39,17/12/2018,0,0,0,0,0,21,urban,11.48806
WS18-062-01,1,UK,51.37,-2.38,17/12/2018,0,0,0,0,0,21,urban,11.60217857
WS18-101-01,1,UK,52.76,-2.37,17/12/2018,1,1,0,0,1,21,urban,10.80151844
WS18-101-02,2,UK,52.76,-2.37,17/12/2018,5,1,0,0,1,20,urban,10.80151844
WS18-069-01,1,UK,53.39,-2.33,20/12/2018,0,0,0,0,0,21,urban,9.850897789
WS18-139-02,2,UK,53.51,-2.33,17/12/2018,1,1,0,0,1,21,urban,11.1175127
WS18-136-02,2,UK,53.00,-2.28,21/12/2018,0,0,0,0,0,21,urban,7.89677
WS18-148-01,1,UK,53.49,-2.28,17/12/2018,0,0,0,0,0,20,urban,11.80884552
WS18-113-02,2,UK,53.33,-2.25,21/12/2018,0,0,0,0,0,4,rural,9.072050095
WS18-095-02,2,UK,53.47,-2.24,17/12/2018,0,0,0,0,0,20,urban,11.71304607
WS18-136-01,1,UK,52.99,-2.21,21/12/2018,1,1,0,0,1,21,urban,8.47481823
WS18-113-01,1,UK,53.33,-2.21,21/12/2018,7,1,0,0,1,21,urban,8.965312958
WS18-159-02,2,UK,51.72,-2.20,28/12/2018,1,1,0,0,1,21,urban,9.591291428
WS18-159-01,1,UK,51.70,-2.19,28/12/2018,5,1,0,0,1,21,urban,9.626051903
WS18-139-01,1,UK,53.51,-2.17,17/12/2018,0,0,0,0,0,21,urban,11.20793343
WS18-106-01,1,UK,57.14,-2.14,20/12/2018,0,0,0,0,0,21,urban,6.177974701
WS18-106-02,2,UK,57.14,-2.14,20/12/2018,0,0,0,0,0,21,urban,6.177974701
WS18-070-02,2,UK,51.18,-2.13,17/12/2018,1,1,0,0,1,21,urban,10.93875885
WS18-070-01,1,UK,51.18,-2.13,17/12/2018,0,0,0,0,0,21,urban,10.93875885
WS18-063-01,1,UK,57.15,-2.10,19/12/2018,0,0,0,0,0,21,urban,7.311065197
WS18-063-02,2,UK,57.16,-2.10,19/12/2018,0,0,0,0,0,20,urban,7.384793282
WS18-008-02,2,UK,53.16,-2.09,17/12/2018,1,1,0,0,1,21,urban,9.89144516
WS18-007-01,1,UK,53.16,-2.09,17/12/2018,1,1,0,0,1,21,urban,9.89144516
WS18-008-01,1,UK,53.16,-2.09,17/12/2018,2,1,0,0,1,21,urban,9.89144516
WS18-007-02,2,UK,53.16,-2.09,17/12/2018,0,0,0,0,0,21,urban,9.89144516
WS18-107-02,2,UK,52.78,-2.07,19/12/2018,1,1,0,0,1,21,urban,8.41788578
WS18-107-01,1,UK,52.78,-2.07,19/12/2018,3,1,0,0,1,21,urban,8.41788578
WS18-043-01,1,UK,52.50,-2.05,19/12/2018,0,0,0,0,0,21,urban,7.608407021
WS18-164-01,1,UK,52.36,-2.04,21/12/2018,1,1,0,0,1,21,urban,10.73797703
