Latitude,Longitude,country,arab_perc
52.39,-1.54,England,0.2698
51.94,-1.54,England,45.5155
52.38,-1.53,England,13.738
53.31,-1.53,England,3.2391
55.10,-1.53,England,55.1372
53.84,-1.51,England,1.7863
53.77,-1.50,England,10.1803
54.02,-1.50,England,29.3941
53.40,-1.50,England,0.4068
52.40,-1.50,England,0.0092
55.12,-1.50,England,0.3891
53.02,-1.48,England,7.8106
52.38,-1.47,England,7.8543
50.93,-1.47,England,2.6888
50.93,-1.47,England,2.5093
53.38,-1.45,England,0.0959
51.58,-1.45,England,56.6502
51.91,-1.45,England,60.8443
50.93,-1.44,England,0.2987
50.93,-1.44,England,0.1734
50.85,-1.40,England,0.5025
53.79,-1.39,England,41.492
52.86,-1.38,England,49.0965
53.76,-1.36,England,55.5344
51.84,-1.35,England,26.4884
51.71,-1.35,England,36.2366
53.72,-1.35,England,15.8072
53.72,-1.35,England,14.3752
53.72,-1.35,England,14.3673
52.67,-1.34,England,49.1629
54.57,-1.34,England,1.2975
50.60,-1.32,England,33.1417
52.06,-1.32,England,8.045
53.68,-1.32,England,30.341
51.57,-1.31,England,65.7192
53.68,-1.31,England,27.7005
51.57,-1.31,England,66.952
51.64,-1.31,England,61.4383
51.57,-1.31,England,67.7008
51.58,-1.31,England,68.7753
51.57,-1.30,England,69.8557
51.57,-1.30,England,71.3266
51.65,-1.30,England,37.796
51.84,-1.29,England,41.4714
51.62,-1.29,England,40.4573
51.78,-1.28,England,6.617
51.69,-1.27,England,36.8105
51.68,-1.27,England,36.5556
51.63,-1.27,England,39.2983
50.85,-1.27,England,7.7697
51.61,-1.26,England,32.8154
51.77,-1.26,England,10.5649
51.75,-1.26,England,1.3092
51.75,-1.26,England,0.9891
51.75,-1.25,England,0.536
51.75,-1.25,England,3.1363
51.75,-1.25,England,2.745
51.51,-1.24,England,69.6243
51.73,-1.24,England,3.0427
51.62,-1.24,England,38.7485
51.60,-1.24,England,28.3527
51.60,-1.23,England,33.148
51.72,-1.22,England,0.4931
51.71,-1.22,England,18.3219
51.61,-1.22,England,44.1997
51.61,-1.22,England,48.452
51.74,-1.22,England,0.0451
51.76,-1.22,England,29.2798
51.76,-1.21,England,17.1662
51.71,-1.21,England,23.9672
52.93,-1.21,England,1.0261
51.75,-1.21,England,0.1153
51.73,-1.21,England,1.5035
52.24,-1.21,England,53.1503
52.16,-1.20,England,48.9012
51.72,-1.20,England,9.9684
51.73,-1.20,England,9.7376
52.92,-1.20,England,8.9111
51.66,-1.19,England,55.0895
52.94,-1.19,England,0.5324
52.59,-1.18,England,11.5287
52.91,-1.17,England,13.4123
52.25,-1.16,England,9.1765
51.91,-1.15,England,26.7519
51.57,-1.15,England,61.6192
50.72,-1.14,England,3.2225
51.60,-1.14,England,48.8369
51.56,-1.13,England,54.2691
51.52,-1.13,England,33.0334
51.90,-1.13,England,25.5274
51.60,-1.13,England,46.4229
51.60,-1.13,England,46.0338
51.74,-1.13,England,35.6721
51.60,-1.13,England,44.7636
51.54,-1.13,England,72.2837
51.60,-1.13,England,44.6843
51.59,-1.13,England,40.5421
51.59,-1.13,England,41.9549
51.59,-1.13,England,43.6849
51.60,-1.12,England,44.2419
51.60,-1.12,England,44.0246
51.60,-1.12,England,44.0726
51.60,-1.12,England,43.7907
51.59,-1.12,England,42.1296
51.60,-1.12,England,44.6346
51.59,-1.12,England,37.8515
51.59,-1.12,England,37.89
51.60,-1.12,England,45.1335
51.60,-1.12,England,45.1068
51.59,-1.12,England,39.9574
51.59,-1.11,England,39.6973
51.60,-1.11,England,45.3146
51.60,-1.11,England,45.7632
51.60,-1.11,England,46.2477
52.93,-1.10,England,21.1095
51.66,-1.07,England,70.6958
51.66,-1.07,England,70.8454
53.96,-1.07,England,0.1927
53.94,-1.07,England,4.4634
53.94,-1.07,England,4.4634
51.61,-1.06,England,63.2835
53.94,-1.05,England,19.4967
51.30,-1.05,England,30.9154
51.64,-1.01,England,61.3541
52.54,-1.00,England,50.5092
54.25,-0.99,England,60.8919
51.42,-0.99,England,11.3234
51.51,-0.98,England,30.4008
51.63,-0.97,England,26.1512
50.83,-0.96,England,11.5418
53.82,-0.95,England,69.3335
51.28,-0.95,England,11.4147
51.46,-0.95,England,3.3086
51.43,-0.94,England,0.3976
51.43,-0.94,England,0.0617
52.83,-0.93,England,29.3829
50.85,-0.93,England,22.4168
53.79,-0.92,England,66.5545
52.20,-0.89,England,8.9472
51.94,-0.88,England,32.6182
51.42,-0.87,England,5.1485
51.48,-0.86,England,19.7633
51.73,-0.86,England,36.794
51.10,-0.85,England,1.2067
51.42,-0.85,England,8.3901
51.40,-0.85,England,3.3242
51.71,-0.84,England,37.0746
51.40,-0.84,England,4.0296
51.81,-0.83,England,15.2815
51.40,-0.83,England,9.9423
51.42,-0.82,England,24.0283
51.81,-0.81,England,2.9594
52.42,-0.81,England,40.2367
52.00,-0.80,England,20.6756
51.79,-0.80,England,32.9891
51.80,-0.79,England,22.0639
53.92,-0.78,England,58.4516
51.80,-0.78,England,29.3074
52.00,-0.77,England,1.5393
51.61,-0.77,England,17.6271
52.04,-0.76,England,1.8528
52.02,-0.75,England,1.4728
52.66,-0.74,England,23.4525
51.45,-0.74,England,34.6519
52.08,-0.73,England,13.0622
52.02,-0.70,England,3.0496
51.65,-0.70,England,9.7105
51.49,-0.70,England,19.5662
52.38,-0.69,England,20.3618
52.38,-0.69,England,21.2468
52.38,-0.68,England,30.1281
52.36,-0.67,England,44.2226
52.37,-0.67,England,44.3528
52.90,-0.66,England,38.03
52.90,-0.65,England,27.1485
51.40,-0.63,England,2.8314
51.31,-0.62,England,0.1027
51.32,-0.62,England,0.0041
51.70,-0.61,England,18.7709
51.72,-0.61,England,19.6609
51.75,-0.60,England,35.4249
51.71,-0.60,England,21.1906
52.29,-0.59,England,19.6434
51.76,-0.59,England,30.7852
53.21,-0.58,England,22.5711
51.23,-0.58,England,4.7401
51.24,-0.58,England,3.6411
51.24,-0.57,England,2.7054
51.42,-0.56,England,0.2087
50.80,-0.54,England,18.7954
52.34,-0.54,England,56.011
51.26,-0.53,England,10.6944
53.23,-0.52,England,10.3379
53.24,-0.50,England,46.4145
51.53,-0.47,England,4.2229
51.53,-0.47,England,4.1281
51.73,-0.45,England,9.1121
51.01,-0.44,England,14.0893
51.44,-0.44,England,14.5937
51.02,-0.44,England,14.554
51.73,-0.44,England,9.9271
51.64,-0.43,England,6.3499
50.83,-0.43,England,11.9105
51.38,-0.42,England,5.0118
51.59,-0.39,England,0.1067
53.74,-0.39,England,0.3431
51.63,-0.37,England,2.3068
53.73,-0.37,England,0.3852
51.41,-0.37,England,1.8178
51.52,-0.36,England,1.1677
52.73,-0.36,England,76.8021
51.53,-0.36,England,1.185
51.57,-0.35,England,0.0884
51.29,-0.35,England,6.0485
51.76,-0.34,England,7.8333
52.63,-0.34,England,72.0259
53.76,-0.30,England,0.7726
51.48,-0.29,England,0.2404
51.46,-0.29,England,1.0183
52.26,-0.26,England,53.5937
52.11,-0.26,England,30.9362
52.58,-0.23,England,0.4285
51.64,-0.23,England,4.0303
51.51,-0.23,England,0.596
51.50,-0.22,England,0.3406
51.83,-0.21,England,34.0812
51.46,-0.21,England,0.4813
51.92,-0.21,England,25.4342
52.32,-0.20,England,13.6995
51.65,-0.19,England,4.6949
51.53,-0.18,England,0.0631
51.51,-0.17,England,4.5127
51.51,-0.17,England,4.6803
51.17,-0.17,England,2.2803
51.55,-0.16,England,0.1044
50.82,-0.16,England,0.2829
51.18,-0.15,England,4.5712
51.53,-0.15,England,0.6701
51.53,-0.15,England,0.6701
51.54,-0.14,England,0.7663
51.54,-0.14,England,0.7359
50.84,-0.14,England,0.06
50.84,-0.13,England,0.06
51.49,-0.13,England,1.1027
51.52,-0.13,England,0.6112
51.49,-0.13,England,1.1347
51.52,-0.13,England,0.4327
51.53,-0.13,England,0.607
51.56,-0.12,England,0.7235
51.53,-0.12,England,0.2003
50.81,-0.11,England,0.7141
50.96,-0.11,England,12.0355
52.34,-0.11,England,54.8696
51.45,-0.11,England,0.1773
51.58,-0.11,England,0.7839
50.84,-0.09,England,17.4202
51.58,-0.09,England,0.2555
51.46,-0.08,England,0.1773
51.43,-0.08,England,0.5636
51.52,-0.08,England,0.0926
51.46,-0.08,England,0.1773
51.52,-0.08,England,0.0926
51.44,-0.08,England,0.2353
51.41,-0.08,England,0.7274
51.54,-0.08,England,0.2652
51.42,-0.07,England,0.7587
52.40,-0.07,England,73.9444
51.38,-0.07,England,0.2004
52.05,-0.03,England,50.5015
51.58,-0.01,England,0.8074
51.57,-0.01,England,0.8799
51.49,-0.00,England,0.3917
